date,product,region,units,revenue
2026-07-31,Salad,Central,3,27.99
2026-07-31,Latte,West,5,33.95
2026-07-31,Espresso,North,4,25.40
2026-07-31,Muffin,West,8,22.00
2026-07-31,Smoothie,West,6,46.56
2026-07-31,Croissant,Central,10,48.20
2026-07-31,Smoothie,Central,9,78.84
2026-07-31,Salad,Central,8,21.68
2026-07-31,Sandwich,Central,10,34.90
2026-07-31,Croissant,Central,9,76.59
2026-07-31,Salad,South,3,12.51
2026-07-31,Smoothie,North,7,65.45
2026-07-31,Salad,South,10,47.80
2026-07-31,Latte,Central,2,19.62
2026-07-31,Espresso,East,6,58.50
2026-07-31,Latte,North,8,36.32
2026-07-31,Latte,East,9,26.37
2026-07-31,Smoothie,West,5,32.55
2026-07-31,Croissant,West,4,39.84
2026-07-31,Cappuccino,Central,6,14.10
2026-07-31,Smoothie,South,11,99.55
2026-07-31,Salad,Central,3,15.81
2026-07-31,Croissant,Central,1,8.63
2026-07-31,Cappuccino,Central,9,82.08
2026-07-31,Muffin,East,2,13.94
2026-07-31,Sandwich,South,9,50.67
2026-07-31,Espresso,North,5,15.60
2026-07-31,Cappuccino,East,6,36.60
2026-07-31,Sandwich,West,8,25.84
2026-07-31,Smoothie,South,4,34.08
2026-07-31,Croissant,East,4,17.00
2026-07-31,Smoothie,South,2,6.28
2026-07-31,Croissant,Central,9,61.47
2026-07-31,Espresso,East,5,42.95
2026-07-31,Smoothie,North,3,22.35
2026-07-31,Croissant,East,4,31.08
2026-07-31,Latte,West,6,59.28
2026-07-31,Muffin,South,3,17.40
2026-07-31,Latte,East,8,33.60
2026-07-31,Latte,South,1,2.99
2026-07-31,Cappuccino,Central,3,23.46
2026-07-31,Espresso,Central,1,5.53
2026-07-31,Muffin,West,1,3.23
2026-07-31,Espresso,East,10,88.90
2026-07-31,Espresso,North,10,89.40
2026-07-31,Espresso,South,11,48.18
2026-07-31,Latte,North,1,3.21
2026-07-31,Croissant,North,8,56.16
2026-07-31,Smoothie,East,6,46.74
2026-07-31,Muffin,North,4,23.60
2026-07-31,Muffin,North,11,47.63
2026-07-31,Croissant,Central,10,88.30
2026-07-31,Muffin,North,3,20.67
2026-07-31,Latte,Central,1,2.38
2026-07-31,Salad,Central,7,19.39
2026-07-31,Latte,East,3,27.21
2026-07-31,Latte,North,8,47.44
2026-07-31,Latte,East,11,63.91
2026-07-31,Latte,West,4,9.32
2026-07-31,Cappuccino,South,8,16.96
2026-07-31,Smoothie,North,8,44.72
2026-07-31,Espresso,East,1,4.02
2026-07-31,Smoothie,South,6,58.44
2026-07-31,Salad,North,8,55.84
2026-07-31,Croissant,East,1,3.37
2026-07-31,Salad,West,8,36.32
2026-07-31,Salad,North,5,16.65
2026-07-31,Latte,East,10,63.00
2026-07-31,Latte,West,9,60.30
2026-07-31,Cappuccino,East,11,37.40
2026-07-31,Sandwich,North,6,45.66
2026-07-31,Sandwich,West,6,57.42
2026-07-31,Muffin,East,3,8.73
2026-07-31,Muffin,South,7,67.27
2026-07-31,Sandwich,Central,7,23.45
2026-07-31,Muffin,Central,5,11.05
2026-07-31,Muffin,North,9,45.00
2026-07-31,Espresso,Central,5,14.00
2026-07-31,Smoothie,Central,9,83.52
2026-07-31,Latte,East,8,68.24
2026-07-31,Salad,West,5,13.05
2026-07-31,Smoothie,West,11,80.85
2026-07-31,Espresso,West,1,8.57
2026-07-31,Espresso,East,6,35.52
2026-07-31,Latte,North,2,15.24
2026-07-31,Cappuccino,North,5,36.10
2026-07-31,Sandwich,West,1,7.72
2026-07-31,Sandwich,Central,11,69.96
2026-07-31,Croissant,South,11,37.51
2026-07-31,Espresso,North,3,26.04
2026-07-31,Espresso,West,5,40.05
2026-07-31,Cappuccino,South,11,49.39
2026-07-31,Smoothie,Central,10,61.90
2026-07-31,Espresso,West,7,19.88
2026-07-31,Sandwich,South,9,69.21
2026-07-31,Salad,East,11,42.57
2026-07-31,Salad,South,2,8.96
2026-07-31,Latte,South,1,7.42
2026-07-31,Sandwich,West,8,25.92
2026-07-31,Espresso,West,7,53.34
2026-07-31,Salad,East,4,21.60
2026-07-31,Latte,Central,8,64.00
2026-07-31,Muffin,East,2,14.92
2026-07-31,Latte,North,1,8.64
2026-07-31,Croissant,West,11,68.42
2026-07-31,Cappuccino,North,5,49.90
2026-07-31,Cappuccino,East,4,27.32
2026-07-31,Latte,North,5,25.05
2026-07-31,Salad,East,7,16.59
2026-07-31,Salad,South,5,22.40
2026-07-31,Latte,South,1,2.36
2026-07-31,Latte,Central,1,7.66
2026-07-31,Sandwich,North,11,68.97
2026-07-31,Cappuccino,South,3,16.74
2026-07-31,Latte,North,2,14.46
2026-07-31,Croissant,West,6,51.72
2026-07-31,Smoothie,North,6,37.38
2026-07-31,Salad,West,11,79.31
2026-07-31,Muffin,East,8,24.72
2026-07-31,Espresso,West,9,84.51
2026-07-31,Croissant,Central,5,28.00
2026-07-31,Salad,North,8,20.08
2026-07-31,Cappuccino,West,9,53.91
2026-07-31,Smoothie,South,2,16.50
2026-07-31,Salad,East,7,40.46
2026-07-31,Salad,South,9,28.35
2026-07-31,Croissant,North,9,20.61
2026-07-31,Muffin,South,10,88.20
2026-07-31,Sandwich,North,6,38.82
2026-07-31,Espresso,East,5,33.35
2026-07-31,Cappuccino,East,8,65.04
2026-07-31,Muffin,Central,4,10.24
2026-07-31,Salad,South,3,14.61
2026-07-31,Salad,South,2,12.90
2026-07-31,Espresso,West,7,18.06
2026-07-31,Cappuccino,Central,8,66.48
2026-07-31,Latte,East,11,33.99
2026-07-31,Salad,North,2,18.26
2026-07-31,Smoothie,North,5,24.45
2026-07-31,Espresso,West,10,50.70
2026-07-31,Salad,East,6,36.18
2026-07-31,Espresso,Central,1,4.34
2026-07-31,Croissant,South,9,44.64
2026-07-31,Salad,Central,6,32.64
2026-07-31,Muffin,North,6,26.94
2026-07-31,Salad,South,10,93.60
2026-07-31,Smoothie,West,6,48.84
2026-07-31,Croissant,South,8,66.08
2026-07-31,Espresso,North,1,5.64
2026-07-31,Smoothie,West,11,93.61
2026-07-31,Salad,West,1,3.61
2026-07-31,Muffin,Central,6,35.70
2026-07-31,Muffin,East,7,14.14
2026-07-31,Salad,West,9,82.71
2026-07-31,Smoothie,South,9,53.46
2026-07-31,Cappuccino,Central,5,25.50
2026-07-31,Cappuccino,North,11,41.25
2026-07-31,Smoothie,West,4,28.84
2026-07-31,Latte,West,5,47.90
2026-07-31,Salad,North,1,2.00
2026-07-31,Latte,West,3,28.38
2026-07-31,Croissant,North,3,25.17
2026-07-31,Croissant,East,8,49.04
2026-07-31,Latte,West,10,67.00
2026-07-31,Salad,South,10,89.90
2026-07-31,Sandwich,Central,2,12.76
2026-07-31,Latte,Central,1,9.26
2026-07-31,Muffin,West,9,25.11
2026-07-31,Espresso,East,7,65.80
2026-07-31,Sandwich,North,3,21.48
2026-07-31,Cappuccino,West,10,35.80
2026-07-31,Salad,Central,3,17.22
2026-07-31,Salad,South,8,49.20
2026-07-31,Salad,West,3,20.97
2026-07-31,Muffin,South,4,16.92
2026-07-31,Cappuccino,East,8,49.04
2026-07-31,Salad,Central,11,81.95
2026-07-31,Croissant,South,6,48.66
2026-07-31,Croissant,Central,2,13.38
2026-07-31,Sandwich,West,3,26.70
2026-07-31,Latte,South,2,8.94
2026-07-31,Muffin,Central,4,18.24
2026-07-31,Latte,Central,1,5.37
2026-07-31,Muffin,South,1,5.45
2026-07-31,Salad,East,10,80.90
2026-07-31,Cappuccino,Central,7,62.79
2026-07-31,Espresso,West,2,12.86
2026-07-31,Croissant,East,3,27.18
2026-07-31,Latte,South,7,69.37
2026-07-31,Cappuccino,West,5,15.05
2026-07-31,Salad,North,2,17.58
2026-07-31,Latte,West,7,41.58
2026-07-31,Latte,East,1,2.80
2026-07-31,Smoothie,South,1,2.93
2026-07-31,Latte,West,11,38.61
2026-07-31,Salad,North,3,27.03
2026-07-31,Cappuccino,North,11,89.98
2026-07-31,Smoothie,West,3,10.92
2026-07-31,Croissant,West,6,18.36
2026-07-31,Croissant,West,1,4.02
2026-07-31,Muffin,North,4,20.12
2026-07-31,Cappuccino,East,9,18.00
2026-07-31,Cappuccino,North,1,9.75
2026-07-31,Croissant,South,11,67.65
2026-07-31,Espresso,Central,1,7.43
2026-07-31,Croissant,Central,2,6.10
2026-07-31,Smoothie,Central,2,10.98
2026-07-31,Latte,West,9,32.85
2026-07-31,Croissant,Central,9,56.25
2026-07-31,Croissant,Central,4,29.80
2026-07-31,Espresso,South,5,43.10
2026-07-31,Sandwich,Central,10,81.50
2026-07-31,Sandwich,South,8,22.08
2026-07-31,Croissant,South,2,13.24
2026-07-31,Smoothie,South,10,80.60
2026-07-31,Salad,Central,1,5.42
2026-07-31,Cappuccino,East,9,64.71
2026-07-31,Espresso,South,2,12.96
2026-07-31,Croissant,South,3,9.45
2026-07-31,Smoothie,South,1,3.71
2026-07-31,Latte,West,8,79.28
2026-07-31,Muffin,South,6,55.20
2026-07-31,Smoothie,East,2,6.54
2026-07-31,Smoothie,Central,9,28.35
2026-07-31,Muffin,North,1,4.01
2026-07-31,Salad,North,5,20.45
2026-07-31,Espresso,Central,1,4.69
2026-07-31,Latte,West,3,8.10
2026-07-31,Muffin,North,9,59.04
2026-07-31,Cappuccino,Central,3,9.00
2026-07-31,Cappuccino,Central,1,3.12
2026-07-31,Sandwich,North,7,41.30
2026-07-31,Cappuccino,Central,3,15.51
2026-07-31,Smoothie,East,8,67.84
2026-07-31,Muffin,North,2,5.18
2026-07-31,Espresso,North,9,60.30
2026-07-31,Salad,North,1,4.11
2026-07-31,Salad,Central,7,63.21
2026-07-31,Espresso,South,11,81.73
2026-07-31,Muffin,East,10,89.60
2026-07-31,Salad,West,8,16.48
2026-07-31,Smoothie,Central,9,41.49
2026-07-31,Smoothie,North,7,21.07
2026-07-31,Espresso,East,7,22.75
2026-07-31,Smoothie,South,2,9.64
2026-07-31,Muffin,South,8,47.52
2026-07-31,Smoothie,North,7,33.04
2026-07-31,Muffin,South,8,62.72
2026-07-31,Croissant,West,6,57.90
2026-07-31,Latte,West,9,35.73
2026-07-31,Muffin,East,3,25.62
2026-07-31,Cappuccino,West,11,78.87
2026-07-31,Latte,East,8,57.12
2026-07-31,Salad,North,10,36.40
2026-07-31,Latte,East,6,33.30
2026-07-31,Cappuccino,Central,5,49.30
2026-07-31,Muffin,West,7,49.21
2026-07-31,Sandwich,Central,8,31.44
2026-07-31,Espresso,Central,2,8.56
2026-07-31,Cappuccino,Central,11,30.25
2026-07-31,Cappuccino,North,11,30.80
2026-07-31,Cappuccino,South,7,14.49
2026-07-31,Cappuccino,South,1,4.21
2026-07-31,Latte,South,1,7.87
2026-07-31,Salad,South,7,54.39
2026-07-31,Espresso,East,1,8.00
2026-07-31,Croissant,West,11,48.73
2026-07-31,Cappuccino,South,2,19.50
2026-07-31,Croissant,South,1,3.69
2026-07-31,Cappuccino,East,7,25.97
2026-07-31,Muffin,East,3,12.75
2026-07-31,Salad,East,11,49.17
2026-07-31,Cappuccino,North,1,8.33
2026-07-31,Smoothie,South,3,6.42
2026-07-31,Espresso,South,1,9.78
2026-07-31,Latte,North,7,56.00
2026-07-31,Cappuccino,Central,1,9.47
2026-07-31,Sandwich,South,3,27.60
2026-07-31,Espresso,West,5,22.20
2026-07-31,Croissant,West,3,22.50
2026-07-31,Muffin,South,6,59.04
2026-07-31,Latte,North,7,18.41
2026-07-31,Cappuccino,West,4,16.72
2026-07-31,Smoothie,East,2,4.18
2026-07-31,Croissant,Central,1,5.38
2026-07-31,Latte,North,1,9.45
2026-07-31,Salad,Central,2,4.04
2026-07-31,Espresso,South,11,36.74
2026-07-31,Salad,West,6,31.92
2026-07-31,Croissant,Central,2,17.62
2026-07-31,Muffin,Central,9,33.75
2026-07-31,Latte,East,7,16.03
2026-07-31,Sandwich,West,4,26.56
2026-07-31,Sandwich,East,4,23.64
2026-07-31,Latte,West,9,49.05
2026-07-31,Latte,North,4,15.44
2026-07-31,Latte,West,3,6.57
2026-07-31,Cappuccino,South,3,13.65
2026-07-31,Latte,Central,11,64.90
2026-07-31,Muffin,North,4,14.80
2026-07-31,Muffin,South,9,41.58
2026-07-31,Espresso,North,6,22.44
2026-07-31,Salad,West,9,29.97
2026-07-31,Muffin,East,7,62.72
2026-07-31,Sandwich,East,1,5.63
2026-07-31,Latte,North,10,58.90
