date,product,region,units,revenue
2026-08-01,Salad,South,4,37.08
2026-08-01,Sandwich,Central,10,35.10
2026-08-01,Espresso,West,10,70.00
2026-08-01,Latte,East,3,19.83
2026-08-01,Salad,Central,8,61.60
2026-08-01,Salad,Central,5,48.75
2026-08-01,Espresso,Central,3,26.58
2026-08-01,Cappuccino,East,3,9.87
2026-08-01,Smoothie,West,10,28.30
2026-08-01,Smoothie,West,4,30.88
2026-08-01,Cappuccino,Central,3,27.96
2026-08-01,Sandwich,Central,4,20.60
2026-08-01,Salad,West,4,23.12
2026-08-01,Cappuccino,South,2,16.30
2026-08-01,Espresso,Central,2,17.34
2026-08-01,Muffin,West,2,18.34
2026-08-01,Salad,North,4,25.16
2026-08-01,Latte,Central,8,48.64
2026-08-01,Muffin,East,9,22.86
2026-08-01,Muffin,Central,8,66.48
2026-08-01,Muffin,West,2,6.94
2026-08-01,Croissant,North,5,33.65
2026-08-01,Muffin,East,10,70.40
2026-08-01,Muffin,South,7,65.94
2026-08-01,Sandwich,Central,4,26.92
2026-08-01,Latte,West,8,56.64
2026-08-01,Smoothie,North,3,24.99
2026-08-01,Sandwich,South,2,16.36
2026-08-01,Salad,Central,3,12.66
2026-08-01,Cappuccino,West,4,35.64
2026-08-01,Cappuccino,North,1,7.31
2026-08-01,Croissant,Central,11,88.66
2026-08-01,Latte,North,6,24.90
2026-08-01,Latte,East,2,17.14
2026-08-01,Muffin,East,11,90.75
2026-08-01,Smoothie,North,8,40.24
2026-08-01,Cappuccino,South,11,37.73
2026-08-01,Smoothie,East,1,6.57
2026-08-01,Sandwich,Central,3,27.21
2026-08-01,Salad,East,5,17.60
2026-08-01,Muffin,Central,5,10.90
2026-08-01,Latte,South,7,45.92
2026-08-01,Espresso,East,1,4.98
2026-08-01,Espresso,West,4,31.44
2026-08-01,Espresso,Central,9,32.94
2026-08-01,Salad,Central,6,15.30
2026-08-01,Salad,South,3,24.78
2026-08-01,Espresso,West,2,7.68
2026-08-01,Latte,West,11,27.83
2026-08-01,Croissant,East,9,19.98
2026-08-01,Latte,West,11,100.32
2026-08-01,Espresso,East,7,38.71
2026-08-01,Latte,North,10,20.60
2026-08-01,Smoothie,South,2,19.68
2026-08-01,Sandwich,West,3,21.03
2026-08-01,Cappuccino,Central,9,84.78
2026-08-01,Muffin,South,3,10.89
2026-08-01,Smoothie,West,6,30.12
2026-08-01,Salad,East,8,54.80
2026-08-01,Cappuccino,Central,10,29.30
2026-08-01,Croissant,North,8,33.60
2026-08-01,Sandwich,North,11,106.70
2026-08-01,Croissant,North,1,8.87
2026-08-01,Sandwich,North,5,38.50
2026-08-01,Croissant,South,7,36.40
2026-08-01,Smoothie,East,10,86.70
2026-08-01,Croissant,East,2,12.36
2026-08-01,Muffin,North,2,10.42
2026-08-01,Espresso,East,3,25.08
2026-08-01,Salad,South,6,20.82
2026-08-01,Latte,West,7,44.80
2026-08-01,Cappuccino,North,11,83.71
2026-08-01,Smoothie,East,11,89.32
2026-08-01,Smoothie,Central,8,79.84
2026-08-01,Smoothie,East,4,39.60
2026-08-01,Salad,West,6,15.12
2026-08-01,Smoothie,West,4,19.56
2026-08-01,Muffin,East,7,23.45
2026-08-01,Salad,South,7,22.61
2026-08-01,Muffin,East,8,35.92
2026-08-01,Muffin,South,3,16.74
2026-08-01,Croissant,South,5,13.40
2026-08-01,Latte,East,10,39.60
2026-08-01,Salad,East,3,15.03
2026-08-01,Cappuccino,East,8,48.72
2026-08-01,Croissant,West,9,68.76
2026-08-01,Salad,East,3,19.38
2026-08-01,Latte,Central,3,20.91
2026-08-01,Cappuccino,North,5,32.75
2026-08-01,Cappuccino,South,5,28.55
2026-08-01,Salad,South,11,80.52
2026-08-01,Latte,North,11,27.72
2026-08-01,Sandwich,North,5,21.25
2026-08-01,Sandwich,East,11,108.02
2026-08-01,Latte,Central,1,8.65
2026-08-01,Espresso,South,3,27.69
2026-08-01,Espresso,West,1,3.88
2026-08-01,Espresso,South,2,15.30
2026-08-01,Muffin,North,3,7.68
2026-08-01,Salad,North,11,23.10
2026-08-01,Latte,Central,4,30.44
2026-08-01,Smoothie,East,11,27.94
2026-08-01,Espresso,West,11,88.44
2026-08-01,Espresso,North,3,15.42
2026-08-01,Cappuccino,West,7,44.10
2026-08-01,Espresso,West,1,6.74
2026-08-01,Smoothie,Central,3,15.78
2026-08-01,Muffin,North,4,25.12
2026-08-01,Muffin,East,1,2.51
2026-08-01,Latte,Central,9,27.81
2026-08-01,Sandwich,South,3,19.71
2026-08-01,Smoothie,Central,8,43.92
2026-08-01,Muffin,East,1,6.71
2026-08-01,Espresso,West,8,21.52
2026-08-01,Sandwich,East,8,45.84
2026-08-01,Espresso,South,3,8.04
2026-08-01,Muffin,South,3,28.92
2026-08-01,Cappuccino,East,10,63.60
2026-08-01,Croissant,East,4,19.40
2026-08-01,Smoothie,West,10,76.00
2026-08-01,Smoothie,West,5,10.60
2026-08-01,Cappuccino,Central,1,3.25
2026-08-01,Salad,South,11,91.08
2026-08-01,Salad,North,5,36.55
2026-08-01,Latte,West,5,22.50
2026-08-01,Smoothie,East,10,80.40
2026-08-01,Espresso,South,4,9.00
2026-08-01,Salad,Central,7,51.59
2026-08-01,Latte,North,6,55.80
2026-08-01,Cappuccino,North,3,14.43
2026-08-01,Cappuccino,North,7,52.08
2026-08-01,Espresso,West,8,78.24
2026-08-01,Smoothie,East,7,32.48
2026-08-01,Smoothie,West,6,22.86
2026-08-01,Croissant,North,1,5.33
2026-08-01,Cappuccino,South,1,2.32
2026-08-01,Salad,East,11,103.29
2026-08-01,Smoothie,North,6,41.34
2026-08-01,Latte,North,11,33.55
2026-08-01,Salad,South,6,56.04
2026-08-01,Salad,South,11,63.80
2026-08-01,Croissant,South,8,33.68
2026-08-01,Latte,West,11,60.61
2026-08-01,Smoothie,East,10,48.50
2026-08-01,Latte,West,4,39.32
2026-08-01,Espresso,Central,2,12.18
2026-08-01,Muffin,East,5,45.70
2026-08-01,Latte,North,1,8.47
2026-08-01,Espresso,East,7,19.74
2026-08-01,Muffin,West,4,9.92
2026-08-01,Muffin,North,6,37.68
2026-08-01,Latte,East,6,20.82
2026-08-01,Salad,East,2,13.76
2026-08-01,Latte,East,9,20.88
2026-08-01,Smoothie,West,5,41.80
2026-08-01,Latte,North,8,16.32
2026-08-01,Latte,Central,3,7.35
2026-08-01,Cappuccino,South,4,21.32
2026-08-01,Latte,West,5,29.75
2026-08-01,Muffin,North,11,22.44
2026-08-01,Cappuccino,East,8,17.60
2026-08-01,Cappuccino,East,1,7.38
2026-08-01,Latte,East,11,67.65
2026-08-01,Espresso,East,2,17.04
2026-08-01,Salad,South,4,21.56
2026-08-01,Latte,West,1,5.17
2026-08-01,Latte,South,4,24.24
2026-08-01,Muffin,South,9,56.97
2026-08-01,Espresso,West,4,30.84
2026-08-01,Latte,East,9,71.46
2026-08-01,Smoothie,Central,8,52.72
2026-08-01,Latte,East,3,24.57
2026-08-01,Cappuccino,East,6,46.92
2026-08-01,Latte,South,2,5.70
2026-08-01,Espresso,East,9,56.43
2026-08-01,Salad,South,6,14.82
2026-08-01,Latte,East,11,94.82
2026-08-01,Salad,East,8,39.84
2026-08-01,Sandwich,East,4,16.84
2026-08-01,Muffin,East,6,31.92
2026-08-01,Salad,North,5,33.00
2026-08-01,Latte,North,3,6.63
2026-08-01,Salad,South,7,58.17
2026-08-01,Espresso,West,7,49.35
2026-08-01,Salad,South,9,53.28
2026-08-01,Salad,North,7,52.29
2026-08-01,Latte,Central,11,84.37
2026-08-01,Salad,South,5,38.20
2026-08-01,Espresso,Central,1,6.32
2026-08-01,Latte,Central,4,30.60
2026-08-01,Smoothie,Central,7,15.05
2026-08-01,Smoothie,West,6,38.70
2026-08-01,Sandwich,North,3,6.27
2026-08-01,Smoothie,West,7,20.51
2026-08-01,Espresso,East,9,65.52
2026-08-01,Salad,Central,9,42.12
2026-08-01,Latte,North,1,5.89
2026-08-01,Croissant,North,6,15.90
2026-08-01,Salad,East,4,37.08
2026-08-01,Muffin,East,9,82.98
2026-08-01,Sandwich,East,9,59.13
2026-08-01,Salad,Central,1,7.98
2026-08-01,Latte,West,6,32.64
2026-08-01,Latte,South,7,48.44
2026-08-01,Smoothie,North,3,6.96
2026-08-01,Latte,North,5,44.90
2026-08-01,Sandwich,West,7,46.13
2026-08-01,Smoothie,Central,4,22.28
2026-08-01,Salad,South,1,7.69
2026-08-01,Salad,South,8,37.12
2026-08-01,Muffin,North,8,33.60
2026-08-01,Croissant,West,10,81.30
2026-08-01,Cappuccino,West,9,54.09
2026-08-01,Espresso,Central,11,71.28
2026-08-01,Salad,East,5,29.50
2026-08-01,Muffin,North,1,3.26
2026-08-01,Muffin,Central,6,30.72
2026-08-01,Muffin,Central,10,94.10
2026-08-01,Cappuccino,North,3,21.99
2026-08-01,Cappuccino,Central,4,10.40
2026-08-01,Smoothie,Central,1,9.66
2026-08-01,Salad,East,2,6.38
2026-08-01,Salad,South,8,74.24
2026-08-01,Latte,East,6,28.08
2026-08-01,Muffin,East,8,45.04
2026-08-01,Smoothie,Central,3,20.70
2026-08-01,Muffin,South,11,52.47
2026-08-01,Muffin,South,3,28.41
2026-08-01,Croissant,North,3,28.50
2026-08-01,Smoothie,South,3,23.67
2026-08-01,Latte,Central,6,14.52
2026-08-01,Croissant,Central,2,10.08
2026-08-01,Croissant,Central,6,52.08
2026-08-01,Sandwich,East,6,51.84
2026-08-01,Smoothie,Central,1,2.51
2026-08-01,Cappuccino,West,7,44.87
2026-08-01,Espresso,East,4,22.80
2026-08-01,Cappuccino,Central,11,30.47
2026-08-01,Smoothie,North,6,20.04
2026-08-01,Sandwich,East,5,49.10
2026-08-01,Salad,South,11,76.45
2026-08-01,Salad,South,6,44.64
2026-08-01,Espresso,South,4,37.52
2026-08-01,Salad,Central,9,26.55
2026-08-01,Muffin,West,9,50.76
2026-08-01,Smoothie,South,5,42.30
2026-08-01,Cappuccino,South,7,37.94
2026-08-01,Espresso,North,10,59.00
2026-08-01,Salad,North,4,20.36
2026-08-01,Latte,West,8,75.68
2026-08-01,Cappuccino,North,8,58.00
2026-08-01,Latte,East,1,2.44
2026-08-01,Croissant,Central,5,48.20
2026-08-01,Latte,North,5,12.10
2026-08-01,Salad,North,8,46.16
2026-08-01,Cappuccino,South,10,53.70
2026-08-01,Cappuccino,South,11,37.73
2026-08-01,Latte,South,7,45.92
2026-08-01,Salad,South,6,14.82
2026-08-01,Salad,Central,1,7.98
